Index	 Radius (earth)	 P (GPa)	 M (earth)	 Density (g cm^-3)	 T (K)	 Phase
0	 0	 29.384991	 0	 1.7520849	 4358.0813	 Water SC (Mazevet)
91	 0.00022110701	 29.38499	 3.4466001e-12	 1.7520848	 4358.0813	 Water SC (Mazevet)
126	 0.00044370133	 29.384988	 2.7851947e-11	 1.7520848	 4358.0812	 Water SC (Mazevet)
147	 0.00067388171	 29.384983	 9.7574054e-11	 1.7520847	 4358.0811	 Water SC (Mazevet)
162	 0.00090828361	 29.384977	 2.3891739e-10	 1.7520846	 4358.081	 Water SC (Mazevet)
173	 0.0011305485	 29.384969	 4.607347e-10	 1.7520844	 4358.0808	 Water SC (Mazevet)
182	 0.0013522964	 29.384959	 7.8849502e-10	 1.7520842	 4358.0806	 Water SC (Mazevet)
190	 0.0015856673	 29.384947	 1.2712162e-09	 1.752084	 4358.0803	 Water SC (Mazevet)
197	 0.001822677	 29.384933	 1.930689e-09	 1.7520837	 4358.08	 Water SC (Mazevet)
203	 0.0020538316	 29.384917	 2.7623432e-09	 1.7520834	 4358.0797	 Water SC (Mazevet)
209	 0.0023143016	 29.384898	 3.9522368e-09	 1.752083	 4358.0793	 Water SC (Mazevet)
214	 0.0025564221	 29.384877	 5.3269757e-09	 1.7520826	 4358.0788	 Water SC (Mazevet)
219	 0.002823873	 29.384852	 7.179901e-09	 1.7520821	 4358.0783	 Water SC (Mazevet)
223	 0.0030578434	 29.384828	 9.1165106e-09	 1.7520817	 4358.0777	 Water SC (Mazevet)
227	 0.0033111994	 29.3848	 1.1575475e-08	 1.7520811	 4358.0771	 Water SC (Mazevet)
231	 0.003585547	 29.384767	 1.4697686e-08	 1.7520805	 4358.0764	 Water SC (Mazevet)
234	 0.0038061244	 29.384738	 1.7580515e-08	 1.7520799	 4358.0758	 Water SC (Mazevet)
237	 0.0040402714	 29.384706	 2.1028785e-08	 1.7520793	 4358.0751	 Water SC (Mazevet)
240	 0.0042888229	 29.38467	 2.5153404e-08	 1.7520786	 4358.0743	 Water SC (Mazevet)
243	 0.0045526648	 29.384629	 3.0087032e-08	 1.7520778	 4358.0734	 Water SC (Mazevet)
246	 0.0048327379	 29.384583	 3.5988348e-08	 1.7520769	 4358.0724	 Water SC (Mazevet)
249	 0.0051300406	 29.384532	 4.3047155e-08	 1.7520759	 4358.0713	 Water SC (Mazevet)
252	 0.005445633	 29.384473	 5.1490485e-08	 1.7520748	 4358.07	 Water SC (Mazevet)
254	 0.0056667417	 29.38443	 5.802057e-08	 1.7520739	 4358.069	 Water SC (Mazevet)
256	 0.005896828	 29.384384	 6.5378807e-08	 1.752073	 4358.068	 Water SC (Mazevet)
258	 0.0061362565	 29.384334	 7.3670223e-08	 1.7520721	 4358.0669	 Water SC (Mazevet)
260	 0.0063854065	 29.384279	 8.3013163e-08	 1.752071	 4358.0657	 Water SC (Mazevet)
262	 0.0066446727	 29.38422	 9.3540982e-08	 1.7520699	 4358.0644	 Water SC (Mazevet)
264	 0.0069144659	 29.384156	 1.0540395e-07	 1.7520686	 4358.063	 Water SC (Mazevet)
266	 0.0071952135	 29.384087	 1.1877138e-07	 1.7520673	 4358.0615	 Water SC (Mazevet)
268	 0.0074873603	 29.384012	 1.3383409e-07	 1.7520658	 4358.0599	 Water SC (Mazevet)
270	 0.0077913691	 29.383931	 1.5080705e-07	 1.7520642	 4358.0581	 Water SC (Mazevet)
272	 0.0081077216	 29.383844	 1.6993253e-07	 1.7520625	 4358.0562	 Water SC (Mazevet)
274	 0.0084369189	 29.383749	 1.9148352e-07	 1.7520607	 4358.0541	 Water SC (Mazevet)
276	 0.0087794826	 29.383646	 2.1576761e-07	 1.7520587	 4358.0519	 Water SC (Mazevet)
278	 0.0091359554	 29.383534	 2.4313141e-07	 1.7520565	 4358.0494	 Water SC (Mazevet)
280	 0.0095069021	 29.383413	 2.739655e-07	 1.7520541	 4358.0468	 Water SC (Mazevet)
282	 0.0098929103	 29.383283	 3.0870996e-07	 1.7520516	 4358.0439	 Water SC (Mazevet)
284	 0.010294592	 29.383141	 3.4786072e-07	 1.7520489	 4358.0408	 Water SC (Mazevet)
286	 0.010712582	 29.382988	 3.9197657e-07	 1.7520459	 4358.0375	 Water SC (Mazevet)
288	 0.011147545	 29.382822	 4.4168717e-07	 1.7520426	 4358.0339	 Water SC (Mazevet)
289	 0.011371605	 29.382734	 4.6885884e-07	 1.7520409	 4358.0319	 Water SC (Mazevet)
290	 0.011600168	 29.382642	 4.9770204e-07	 1.7520391	 4358.0299	 Water SC (Mazevet)
291	 0.011833325	 29.382547	 5.2831961e-07	 1.7520373	 4358.0278	 Water SC (Mazevet)
292	 0.012071169	 29.382448	 5.6082069e-07	 1.7520354	 4358.0257	 Water SC (Mazevet)
293	 0.012313793	 29.382344	 5.9532115e-07	 1.7520333	 4358.0234	 Water SC (Mazevet)
294	 0.012561294	 29.382237	 6.3194398e-07	 1.7520313	 4358.0211	 Water SC (Mazevet)
