Index	 Radius (earth)	 P (GPa)	 M (earth)	 Density (g cm^-3)	 T (K)	 Phase
0	 0	 112.49577	 0	 4.2032782	 597.12273	 Diamond
73	 0.00011544084	 112.49577	 1.1767787e-12	 4.2032782	 597.12273	 Diamond
108	 0.00023165821	 112.49576	 9.5095388e-12	 4.2032781	 597.12273	 Diamond
129	 0.00035183629	 112.49576	 3.331488e-11	 4.2032781	 597.12272	 Diamond
144	 0.00047421844	 112.49575	 8.1573985e-11	 4.203278	 597.12272	 Diamond
155	 0.00059026382	 112.49573	 1.5730947e-10	 4.203278	 597.12271	 Diamond
164	 0.00070603926	 112.49572	 2.6921727e-10	 4.2032779	 597.12271	 Diamond
172	 0.0008278831	 112.4957	 4.3403365e-10	 4.2032778	 597.1227	 Diamond
179	 0.0009516268	 112.49568	 6.5919868e-10	 4.2032777	 597.12269	 Diamond
185	 0.0010723135	 112.49565	 9.43152e-10	 4.2032776	 597.12268	 Diamond
191	 0.0012083059	 112.49562	 1.3494197e-09	 4.2032774	 597.12267	 Diamond
196	 0.001334718	 112.49559	 1.8187996e-09	 4.2032772	 597.12265	 Diamond
201	 0.0014743552	 112.49555	 2.4514478e-09	 4.203277	 597.12264	 Diamond
205	 0.001596512	 112.49551	 3.1126686e-09	 4.2032768	 597.12262	 Diamond
209	 0.0017287902	 112.49547	 3.9522383e-09	 4.2032766	 597.1226	 Diamond
213	 0.0018720281	 112.49542	 5.0182623e-09	 4.2032763	 597.12258	 Diamond
216	 0.0019871924	 112.49537	 6.0025533e-09	 4.2032761	 597.12256	 Diamond
219	 0.0021094415	 112.49532	 7.179905e-09	 4.2032758	 597.12254	 Diamond
222	 0.0022392112	 112.49527	 8.5881845e-09	 4.2032756	 597.12252	 Diamond
225	 0.0023769641	 112.4952	 1.0272686e-08	 4.2032752	 597.12249	 Diamond
228	 0.0025231913	 112.49513	 1.228759e-08	 4.2032749	 597.12246	 Diamond
231	 0.0026784142	 112.49505	 1.4697699e-08	 4.2032744	 597.12243	 Diamond
234	 0.0028431862	 112.49496	 1.7580532e-08	 4.203274	 597.12239	 Diamond
236	 0.0029586279	 112.49489	 1.9810121e-08	 4.2032736	 597.12236	 Diamond
238	 0.0030787568	 112.49482	 2.2322469e-08	 4.2032732	 597.12233	 Diamond
240	 0.0032037633	 112.49474	 2.5153436e-08	 4.2032728	 597.1223	 Diamond
242	 0.0033338455	 112.49465	 2.8343431e-08	 4.2032724	 597.12226	 Diamond
244	 0.0034692094	 112.49456	 3.1937986e-08	 4.2032719	 597.12222	 Diamond
246	 0.0036100694	 112.49446	 3.5988406e-08	 4.2032714	 597.12218	 Diamond
248	 0.0037566488	 112.49435	 4.0552507e-08	 4.2032708	 597.12213	 Diamond
250	 0.0039091797	 112.49423	 4.5695433e-08	 4.2032702	 597.12208	 Diamond
252	 0.0040679039	 112.49411	 5.1490592e-08	 4.2032696	 597.12203	 Diamond
254	 0.0042330727	 112.49397	 5.80207e-08	 4.2032688	 597.12197	 Diamond
256	 0.0044049478	 112.49382	 6.5378965e-08	 4.2032681	 597.12191	 Diamond
258	 0.0045838016	 112.49366	 7.3670415e-08	 4.2032672	 597.12184	 Diamond
260	 0.0047699173	 112.49348	 8.3013398e-08	 4.2032663	 597.12177	 Diamond
262	 0.0049635899	 112.49329	 9.3541269e-08	 4.2032654	 597.12169	 Diamond
264	 0.0051651262	 112.49309	 1.054043e-07	 4.2032643	 597.12161	 Diamond
266	 0.0053748454	 112.49287	 1.1877181e-07	 4.2032631	 597.12151	 Diamond
268	 0.0055930799	 112.49263	 1.3383461e-07	 4.2032619	 597.12141	 Diamond
270	 0.0058201753	 112.49237	 1.5080769e-07	 4.2032606	 597.1213	 Diamond
271	 0.0059371578	 112.49223	 1.6008513e-07	 4.2032598	 597.12125	 Diamond
272	 0.0060564915	 112.49208	 1.6993331e-07	 4.2032591	 597.12119	 Diamond
273	 0.0061782237	 112.49193	 1.8038733e-07	 4.2032583	 597.12112	 Diamond
274	 0.0063024028	 112.49178	 1.9148447e-07	 4.2032575	 597.12106	 Diamond
275	 0.0064290777	 112.49162	 2.0326428e-07	 4.2032567	 597.12099	 Diamond
276	 0.0065582988	 112.49145	 2.1576877e-07	 4.2032558	 597.12092	 Diamond
277	 0.0066901171	 112.49127	 2.2904251e-07	 4.2032549	 597.12085	 Diamond
278	 0.0068245849	 112.49109	 2.4313282e-07	 4.203254	 597.12077	 Diamond
279	 0.0069617555	 112.4909	 2.5808995e-07	 4.203253	 597.12069	 Diamond
280	 0.0071016831	 112.4907	 2.7396722e-07	 4.2032519	 597.12061	 Diamond
281	 0.0072444231	 112.4905	 2.9082123e-07	 4.2032509	 597.12052	 Diamond
282	 0.0073900322	 112.49028	 3.0871206e-07	 4.2032498	 597.12043	 Diamond
283	 0.0075385679	 112.49006	 3.2770351e-07	 4.2032486	 597.12034	 Diamond
284	 0.0076900892	 112.48983	 3.4786328e-07	 4.2032474	 597.12024	 Diamond
285	 0.0078446559	 112.48959	 3.6926324e-07	 4.2032462	 597.12014	 Diamond
286	 0.0080023293	 112.48934	 3.9197969e-07	 4.2032449	 597.12004	 Diamond
287	 0.0081631719	 112.48908	 4.1609362e-07	 4.2032435	 597.11993	 Diamond
288	 0.0083272474	 112.4888	 4.4169098e-07	 4.2032421	 597.11981	 Diamond
289	 0.0084946206	 112.48852	 4.6886305e-07	 4.2032407	 597.11969	 Diamond
290	 0.008665358	 112.48823	 4.977067e-07	 4.2032391	 597.11957	 Diamond
291	 0.0088395272	 112.48792	 5.2832475e-07	 4.2032375	 597.11944	 Diamond
292	 0.009017197	 112.4876	 5.6082637e-07	 4.2032359	 597.11931	 Diamond
293	 0.0091984379	 112.48727	 5.9532742e-07	 4.2032342	 597.11917	 Diamond
294	 0.0093833217	 112.48692	 6.3195091e-07	 4.2032324	 597.11903	 Diamond
295	 0.0095719215	 112.48657	 6.7082741e-07	 4.2032305	 597.11888	 Diamond
296	 0.0097643121	 112.48619	 7.1209552e-07	 4.2032286	 597.11872	 Diamond
297	 0.0099605696	 112.4858	 7.5590235e-07	 4.2032266	 597.11856	 Diamond
298	 0.010160772	 112.4854	 8.024041e-07	 4.2032245	 597.11839	 Diamond
299	 0.010364998	 112.48498	 8.5176654e-07	 4.2032223	 597.11821	 Diamond
300	 0.010573329	 112.48454	 9.0416566e-07	 4.2032201	 597.11803	 Diamond
301	 0.010785847	 112.48408	 9.5978826e-07	 4.2032177	 597.11784	 Diamond
302	 0.011002637	 112.48361	 1.0188327e-06	 4.2032152	 597.11764	 Diamond
303	 0.011223785	 112.48311	 1.0815093e-06	 4.2032127	 597.11743	 Diamond
304	 0.011449377	 112.4826	 1.1480417e-06	 4.20321	 597.11722	 Diamond
305	 0.011679503	 112.48207	 1.2186671e-06	 4.2032073	 597.11699	 Diamond
306	 0.011914255	 112.48151	 1.2936371e-06	 4.2032044	 597.11676	 Diamond
307	 0.012153725	 112.48093	 1.3732192e-06	 4.2032014	 597.11652	 Diamond
308	 0.012398009	 112.48033	 1.457697e-06	 4.2031983	 597.11627	 Diamond
309	 0.012647202	 112.4797	 1.5473716e-06	 4.203195	 597.116	 Diamond
310	 0.012901405	 112.47905	 1.6425628e-06	 4.2031916	 597.11573	 Diamond
311	 0.013160716	 112.47837	 1.74361e-06	 4.2031881	 597.11545	 Diamond
312	 0.01342524	 112.47766	 1.8508734e-06	 4.2031845	 597.11515	 Diamond
313	 0.01369508	 112.47693	 1.9647353e-06	 4.2031807	 597.11484	 Diamond
314	 0.013970344	 112.47616	 2.0856018e-06	 4.2031767	 597.11452	 Diamond
315	 0.014251141	 112.47537	 2.2139036e-06	 4.2031726	 597.11419	 Diamond
316	 0.014537581	 112.47454	 2.3500983e-06	 4.2031683	 597.11384	 Diamond
317	 0.014829779	 112.47368	 2.4946713e-06	 4.2031639	 597.11348	 Diamond
318	 0.01512785	 112.47278	 2.6481381e-06	 4.2031592	 597.11311	 Diamond
319	 0.015431912	 112.47185	 2.8110457e-06	 4.2031544	 597.11272	 Diamond
320	 0.015742085	 112.47087	 2.983975e-06	 4.2031494	 597.11231	 Diamond
321	 0.016058493	 112.46986	 3.1675424e-06	 4.2031441	 597.11189	 Diamond
322	 0.016381261	 112.46881	 3.3624024e-06	 4.2031387	 597.11145	 Diamond
323	 0.016710516	 112.46772	 3.5692497e-06	 4.203133	 597.11099	 Diamond
