Index	 Radius (earth)	 P (GPa)	 M (earth)	 Density (g cm^-3)	 T (K)	 Phase
0	 0	 155.21157	 0	 5.5643214	 3276.0307	 Si PPv (Sakai)
75	 0.00010940483	 155.21156	 1.3260195e-12	 5.5643214	 3276.0307	 Si PPv (Sakai)
110	 0.00021954559	 155.21156	 1.0715553e-11	 5.5643213	 3276.0307	 Si PPv (Sakai)
131	 0.00033343996	 155.21155	 3.7539923e-11	 5.5643213	 3276.0306	 Si PPv (Sakai)
146	 0.00044942317	 155.21153	 9.1919319e-11	 5.5643211	 3276.0305	 Si PPv (Sakai)
157	 0.00055940093	 155.21151	 1.7725969e-10	 5.564321	 3276.0304	 Si PPv (Sakai)
166	 0.00066912286	 155.21149	 3.033598e-10	 5.5643208	 3276.0303	 Si PPv (Sakai)
174	 0.0007845959	 155.21146	 4.8907843e-10	 5.5643206	 3276.0301	 Si PPv (Sakai)
181	 0.00090186946	 155.21142	 7.4279921e-10	 5.5643203	 3276.03	 Si PPv (Sakai)
187	 0.0010162459	 155.21138	 1.0627639e-09	 5.56432	 3276.0298	 Si PPv (Sakai)
193	 0.0011451277	 155.21134	 1.520555e-09	 5.5643197	 3276.0295	 Si PPv (Sakai)
198	 0.0012649301	 155.21128	 2.0494623e-09	 5.5643193	 3276.0292	 Si PPv (Sakai)
203	 0.0013972661	 155.21122	 2.7623438e-09	 5.5643188	 3276.0289	 Si PPv (Sakai)
207	 0.0015130358	 155.21116	 3.5074215e-09	 5.5643183	 3276.0286	 Si PPv (Sakai)
211	 0.0016383976	 155.21109	 4.4534664e-09	 5.5643178	 3276.0283	 Si PPv (Sakai)
215	 0.0017741461	 155.21101	 5.6546848e-09	 5.5643172	 3276.0278	 Si PPv (Sakai)
218	 0.0018832889	 155.21094	 6.7638048e-09	 5.5643167	 3276.0275	 Si PPv (Sakai)
221	 0.001999146	 155.21086	 8.0904695e-09	 5.5643161	 3276.0271	 Si PPv (Sakai)
224	 0.0021221304	 155.21077	 9.6773485e-09	 5.5643154	 3276.0266	 Si PPv (Sakai)
227	 0.0022526807	 155.21067	 1.1575481e-08	 5.5643146	 3276.0261	 Si PPv (Sakai)
230	 0.0023912622	 155.21056	 1.3845916e-08	 5.5643138	 3276.0255	 Si PPv (Sakai)
233	 0.002538369	 155.21043	 1.6561678e-08	 5.5643128	 3276.0248	 Si PPv (Sakai)
236	 0.0026945257	 155.21029	 1.9810114e-08	 5.5643117	 3276.0241	 Si PPv (Sakai)
238	 0.0028039313	 155.21018	 2.232246e-08	 5.5643109	 3276.0235	 Si PPv (Sakai)
240	 0.0029177791	 155.21007	 2.5153426e-08	 5.56431	 3276.0229	 Si PPv (Sakai)
242	 0.0030362495	 155.20994	 2.8343418e-08	 5.5643091	 3276.0223	 Si PPv (Sakai)
244	 0.0031595301	 155.20981	 3.193797e-08	 5.5643081	 3276.0216	 Si PPv (Sakai)
246	 0.0032878162	 155.20966	 3.5988387e-08	 5.564307	 3276.0208	 Si PPv (Sakai)
248	 0.0034213112	 155.20951	 4.0552483e-08	 5.5643058	 3276.02	 Si PPv (Sakai)
250	 0.0035602264	 155.20933	 4.5695404e-08	 5.5643045	 3276.0191	 Si PPv (Sakai)
252	 0.0037047821	 155.20915	 5.1490556e-08	 5.5643031	 3276.0182	 Si PPv (Sakai)
254	 0.003855207	 155.20895	 5.8020657e-08	 5.5643016	 3276.0171	 Si PPv (Sakai)
256	 0.0040117397	 155.20873	 6.5378912e-08	 5.5642999	 3276.016	 Si PPv (Sakai)
258	 0.0041746281	 155.2085	 7.3670351e-08	 5.5642981	 3276.0148	 Si PPv (Sakai)
260	 0.0043441302	 155.20824	 8.3013319e-08	 5.5642962	 3276.0135	 Si PPv (Sakai)
262	 0.0045205146	 155.20797	 9.3541173e-08	 5.5642941	 3276.0121	 Si PPv (Sakai)
264	 0.0047040608	 155.20767	 1.0540418e-07	 5.5642919	 3276.0105	 Si PPv (Sakai)
266	 0.0048950594	 155.20735	 1.1877167e-07	 5.5642894	 3276.0089	 Si PPv (Sakai)
268	 0.0050938132	 155.207	 1.3383443e-07	 5.5642868	 3276.007	 Si PPv (Sakai)
270	 0.0053006369	 155.20662	 1.5080747e-07	 5.5642839	 3276.0051	 Si PPv (Sakai)
272	 0.0055158583	 155.20621	 1.6993305e-07	 5.5642808	 3276.003	 Si PPv (Sakai)
273	 0.0056267242	 155.20599	 1.8038704e-07	 5.5642792	 3276.0018	 Si PPv (Sakai)
274	 0.0057398183	 155.20577	 1.9148415e-07	 5.5642774	 3276.0007	 Si PPv (Sakai)
275	 0.0058551857	 155.20553	 2.0326393e-07	 5.5642757	 3275.9994	 Si PPv (Sakai)
276	 0.0059728718	 155.20529	 2.1576838e-07	 5.5642738	 3275.9982	 Si PPv (Sakai)
277	 0.0060929234	 155.20503	 2.2904208e-07	 5.5642719	 3275.9969	 Si PPv (Sakai)
278	 0.0062153879	 155.20476	 2.4313235e-07	 5.5642699	 3275.9955	 Si PPv (Sakai)
279	 0.0063403139	 155.20449	 2.5808943e-07	 5.5642678	 3275.994	 Si PPv (Sakai)
280	 0.0064677509	 155.2042	 2.7396664e-07	 5.5642656	 3275.9926	 Si PPv (Sakai)
281	 0.0065977493	 155.2039	 2.9082059e-07	 5.5642633	 3275.991	 Si PPv (Sakai)
282	 0.0067303606	 155.20359	 3.0871136e-07	 5.564261	 3275.9894	 Si PPv (Sakai)
283	 0.0068656373	 155.20327	 3.2770273e-07	 5.5642585	 3275.9877	 Si PPv (Sakai)
284	 0.007003633	 155.20293	 3.4786242e-07	 5.564256	 3275.986	 Si PPv (Sakai)
285	 0.0071444023	 155.20258	 3.6926229e-07	 5.5642533	 3275.9842	 Si PPv (Sakai)
286	 0.007288001	 155.20222	 3.9197864e-07	 5.5642505	 3275.9823	 Si PPv (Sakai)
287	 0.007434486	 155.20184	 4.1609245e-07	 5.5642477	 3275.9803	 Si PPv (Sakai)
288	 0.0075839153	 155.20144	 4.416897e-07	 5.5642447	 3275.9783	 Si PPv (Sakai)
289	 0.007736348	 155.20103	 4.6886164e-07	 5.5642415	 3275.9761	 Si PPv (Sakai)
290	 0.0078918445	 155.2006	 4.9770513e-07	 5.5642383	 3275.9739	 Si PPv (Sakai)
291	 0.0080504665	 155.20016	 5.2832302e-07	 5.5642349	 3275.9716	 Si PPv (Sakai)
292	 0.0082122766	 155.19969	 5.6082446e-07	 5.5642314	 3275.9692	 Si PPv (Sakai)
293	 0.0083773391	 155.19921	 5.9532531e-07	 5.5642278	 3275.9667	 Si PPv (Sakai)
294	 0.0085457192	 155.19871	 6.3194858e-07	 5.564224	 3275.9641	 Si PPv (Sakai)
295	 0.0087174837	 155.19819	 6.7082484e-07	 5.56422	 3275.9614	 Si PPv (Sakai)
296	 0.0088927006	 155.19764	 7.1209267e-07	 5.5642159	 3275.9586	 Si PPv (Sakai)
297	 0.0090714393	 155.19708	 7.5589921e-07	 5.5642116	 3275.9557	 Si PPv (Sakai)
298	 0.0092537705	 155.19649	 8.0240063e-07	 5.5642071	 3275.9526	 Si PPv (Sakai)
299	 0.0094397664	 155.19588	 8.5176271e-07	 5.5642025	 3275.9495	 Si PPv (Sakai)
300	 0.0096295008	 155.19524	 9.0416143e-07	 5.5641977	 3275.9462	 Si PPv (Sakai)
301	 0.0098230488	 155.19458	 9.5978359e-07	 5.5641926	 3275.9427	 Si PPv (Sakai)
302	 0.010020487	 155.19389	 1.0188275e-06	 5.5641874	 3275.9392	 Si PPv (Sakai)
303	 0.010221894	 155.19317	 1.0815036e-06	 5.564182	 3275.9354	 Si PPv (Sakai)
304	 0.010427348	 155.19242	 1.1480354e-06	 5.5641763	 3275.9316	 Si PPv (Sakai)
305	 0.010636933	 155.19165	 1.2186601e-06	 5.5641704	 3275.9275	 Si PPv (Sakai)
306	 0.010850729	 155.19084	 1.2936295e-06	 5.5641643	 3275.9234	 Si PPv (Sakai)
307	 0.011068824	 155.19	 1.3732107e-06	 5.5641579	 3275.919	 Si PPv (Sakai)
308	 0.011291301	 155.18912	 1.4576876e-06	 5.5641513	 3275.9145	 Si PPv (Sakai)
309	 0.011518251	 155.18821	 1.5473613e-06	 5.5641444	 3275.9097	 Si PPv (Sakai)
310	 0.011749761	 155.18726	 1.6425514e-06	 5.5641372	 3275.9048	 Si PPv (Sakai)
311	 0.011985926	 155.18627	 1.7435974e-06	 5.5641297	 3275.8997	 Si PPv (Sakai)
312	 0.012226837	 155.18525	 1.8508594e-06	 5.5641219	 3275.8944	 Si PPv (Sakai)
